gridID,decimalLongitude,decimalLatitude
A01,76.84301,10.302174
A02,76.843015,10.303078
B01,76.842097,10.30218
B02,76.842103,10.303084
C01,76.841185,10.302185
C02,76.84119,10.303089
C03,76.841195,10.303993
D02,76.840277,10.303094
D03,76.840282,10.303998
D15,76.840345,10.314846
E02,76.839364,10.303099
E03,76.839369,10.304003
E04,76.839375,10.304907
E14,76.839427,10.313947
E15,76.839432,10.314851
F02,76.838451,10.303104
F03,76.838457,10.304008
F04,76.838462,10.304912
F05,76.838467,10.305816
F13,76.838509,10.313048
F14,76.838514,10.313952
F15,76.838519,10.314856
F16,76.838525,10.31576
G03,76.837544,10.304014
G04,76.837549,10.304917
G05,76.837554,10.305821
G06,76.837559,10.306725
G07,76.837565,10.307629
G08,76.83757,10.308533
G09,76.837575,10.309437
G12,76.837591,10.312149
G13,76.837596,10.313053
G14,76.837601,10.313957
G15,76.837607,10.314861
G16,76.837612,10.315765
H03,76.836631,10.304019
H04,76.836636,10.304923
H05,76.836641,10.305827
H06,76.836647,10.306731
H07,76.836652,10.307635
H08,76.836657,10.308539
H10,76.836668,10.310347
H11,76.836673,10.31125
H12,76.836678,10.312154
H13,76.836683,10.313058
H14,76.836689,10.313962
H15,76.836694,10.314866
H16,76.836699,10.31577
H17,76.836704,10.316674
I03,76.835718,10.304024
I05,76.835729,10.305832
I06,76.835734,10.306736
I07,76.835739,10.30764
I08,76.835744,10.308544
I09,76.835749,10.309448
I13,76.83577,10.313064
I14,76.835776,10.313968
I15,76.835781,10.314872
I16,76.835786,10.315776
I17,76.835791,10.31668
J04,76.83481,10.304933
J05,76.834816,10.305837
J06,76.834821,10.306741
J07,76.834826,10.307645
J08,76.834831,10.308549
J09,76.834837,10.309453
J10,76.834842,10.310357
J11,76.834847,10.311261
J12,76.834852,10.312165
J13,76.834858,10.313069
J14,76.834863,10.313973
J15,76.834868,10.314877
J16,76.834873,10.315781
J17,76.834878,10.316685
K04,76.833898,10.304938
K05,76.833903,10.305842
K06,76.833908,10.306746
K07,76.833913,10.30765
K08,76.833919,10.308554
K09,76.833924,10.309458
K10,76.833929,10.310362
K11,76.833934,10.311266
K12,76.833939,10.31217
K13,76.833945,10.313074
K14,76.83395,10.313978
K15,76.833955,10.314882
K16,76.83396,10.315786
K17,76.833966,10.31669
L04,76.832985,10.304943
L05,76.83299,10.305847
L06,76.832995,10.306751
L07,76.833,10.307655
L08,76.833006,10.308559
L09,76.833011,10.309463
L10,76.833016,10.310367
L11,76.833021,10.311271
L12,76.833027,10.312175
L13,76.833032,10.313079
L14,76.833037,10.313983
L15,76.833042,10.314887
L16,76.833048,10.315791
L17,76.833053,10.316695
M07,76.832088,10.30766
M08,76.832093,10.308564
M09,76.832098,10.309468
M10,76.832103,10.310372
M11,76.832109,10.311276
M12,76.832114,10.31218
M13,76.832119,10.313084
M14,76.832124,10.313988
M15,76.832129,10.314892
M16,76.832135,10.315796
M17,76.83214,10.3167
N08,76.83118,10.30857
N09,76.831185,10.309474
N10,76.83119,10.310378
N11,76.831196,10.311282
N12,76.831201,10.312186
N13,76.831206,10.31309
N14,76.831211,10.313993
N15,76.831217,10.314897
N16,76.831222,10.315801
O08,76.830267,10.308575
P08,76.829354,10.30858
