"species","reason"
"Asian Emerald Dove","invalid threshold values"
"Bar-winged Flycatcher-shrike","invalid threshold values"
"Black-hooded Oriole","invalid threshold values"
"Black-naped Monarch","invalid threshold values"
"Black-rumped Flameback","model did not converge"
"Bronzed Drongo","invalid threshold values"
"Changeable Hawk-Eagle","invalid threshold values"
"Chestnut-headed Bee-eater","invalid threshold values"
"Common Kingfisher","model did not converge"
"Crested Serpent-Eagle","invalid threshold values"
"Eurasian Hoopoe","model did not converge"
"Greater Coucal","invalid threshold values"
"Greater Flameback","invalid threshold values"
"Green Warbler","invalid threshold values"
"Indian Blue Robin","invalid threshold values"
"Indian Paradise-Flycatcher","model did not converge"
"Indian Scimitar-Babbler","invalid threshold values"
"Indian White-eye","invalid threshold values"
"Jungle Owlet","invalid threshold values"
"Lesser Yellownape","invalid threshold values"
"Malabar Barbet","invalid threshold values"
"Malabar Whistling-Thrush","invalid threshold values"
"Malabar Woodshrike","invalid threshold values"
"Mountain Imperial-Pigeon","invalid threshold values"
"Orange-headed Thrush","invalid threshold values"
"Southern Hill Myna","invalid threshold values"
"Spotted Dove","model did not converge"
