"common_name","cumulative_abundance","scientific_name"
"Yellow-browed Bulbul",344,"Acritillas indica"
"Southern Hill Myna",312,"Gracula indica"
"Greater Racket-tailed Drongo",229,"Dicrurus paradiseus"
"Nilgiri Flowerpecker",222,"Dicaeum concolor"
"Crimson-backed Sunbird",214,"Leptocoma minima"
"Vernal Hanging-Parrot",171,"Loriculus vernalis"
"Red-whiskered Bulbul",170,"Pycnonotus jocosus"
"White-cheeked Barbet",169,"Psilopogon viridis"
"Velvet-fronted Nuthatch",156,"Sitta frontalis"
"Orange Minivet",149,"Pericrocotus flammeus"
"Indian Scimitar-Babbler",124,"Pomatorhinus horsfieldii"
"Green Warbler",109,"Phylloscopus nitidus"
"Grey Junglefowl",109,"Gallus sonneratii"
"Square-tailed Bulbul",106,"Hypsipetes ganeesa"
"Asian Fairy-bluebird",99,"Irena puella"
"Malabar Woodshrike",98,"Tephrodornis sylvicola"
"Chestnut-headed Bee-eater",97,"Merops leschenaulti"
"Indian White-eye",95,"Zosterops palpebrosus"
"Malabar Barbet",85,"Psilopogon malabaricus"
"Malabar Whistling-Thrush",84,"Myophonus horsfieldii"
"Malabar Imperial-Pigeon",82,"Ducula cuprea"
"Malabar Grey Hornbill",76,"Ocyceros griseus"
"Large-billed Leaf Warbler",70,"Phylloscopus magnirostris"
"Greenish Warbler",62,"Phylloscopus trochiloides"
"Large-billed Crow",61,"Corvus macrorhynchos"
"White-bellied Treepie",60,"Dendrocitta leucogastra"
"Grey-fronted Green-Pigeon",54,"Treron affinis"
"Bar-winged Flycatcher-shrike",40,"Hemipus picatus"
"Greater Coucal",38,"Centropus sinensis"
"Indian Peafowl",36,"Pavo cristatus"
"Brown-cheeked Fulvetta",35,"Alcippe poioicephala"
"Malabar Flameback",34,"Chrysocolaptes socialis"
"Puff-throated Babbler",29,"Pellorneum ruficeps"
"Black-rumped Flameback",28,"Dinopium benghalense"
"Indian Swiftlet",26,"Aerodramus unicolor"
"Indian Yellow Tit",25,"Machlolophus aplonotus"
"Jungle Myna",25,"Acridotheres fuscus"
"Common Tailorbird",24,"Orthotomus sutorius"
"Malabar Trogon",24,"Harpactes fasciatus"
"Asian Emerald Dove",23,"Chalcophaps indica"
"White-throated Kingfisher",23,"Halcyon smyrnensis"
"Bronzed Drongo",21,"Dicrurus aeneus"
"Little Spiderhunter",21,"Arachnothera longirostra"
"Golden-fronted Leafbird",20,"Chloropsis aurifrons"
"Great Hornbill",19,"Buceros bicornis"
"Small Minivet",18,"Pericrocotus cinnamomeus"
"Rusty-tailed Flycatcher",16,"Ficedula ruficauda"
"Stork-billed Kingfisher",16,"Pelargopsis capensis"
"Black-naped Monarch",15,"Hypothymis azurea"
"Black-throated Munia",15,"Lonchura kelaarti"
"Common Iora",15,"Aegithina tiphia"
"Plum-headed Parakeet",15,"Psittacula cyanocephala"
"Indian Golden Oriole",14,"Oriolus kundoo"
"White-bellied Blue Flycatcher",14,"Cyornis pallidipes"
"Crested Serpent-Eagle",13,"Spilornis cheela"
"Speckled Piculet",13,"Picumnus innominatus"
"Spotted Dove",12,"Spilopelia chinensis"
"Jungle Owlet",11,"Glaucidium radiatum"
"Lesser Yellownape",11,"Picus chlorolophus"
"Oriental Magpie-Robin",11,"Copsychus saularis"
"Purple Sunbird",11,"Cinnyris asiaticus"
"Brown-capped Pygmy Woodpecker",10,"Yungipicus nanus"
"Orange-headed Thrush",9,"Geokichla citrina"
"Grey-headed Canary-Flycatcher",8,"Culicicapa ceylonensis"
"Common Flameback",7,"Dinopium javanense"
"Changeable Hawk-Eagle",6,"Nisaetus cirrhatus"
"Forest Wagtail",6,"Dendronanthus indicus"
"Grey Wagtail",6,"Motacilla cinerea"
"Heart-spotted Woodpecker",6,"Hemicircus canente"
"Indian Blue Robin",6,"Larvivora brunnea"
"Western Crowned Warbler",6,"Phylloscopus occipitalis"
"Brown-breasted Flycatcher",5,"Muscicapa muttui"
"Eurasian Hoopoe",5,"Upupa epops"
"Red Spurfowl",5,"Galloperdix spadicea"
"Asian Brown Flycatcher",4,"Muscicapa dauurica"
"Blyth's Reed Warbler",4,"Acrocephalus dumetorum"
"Grey-breasted Prinia",4,"Prinia hodgsonii"
"Malabar Parakeet",4,"Psittacula columboides"
"Eastern Cattle-Egret",3,"Ardea coromanda"
"Eastern Red-rumped Swallow",3,"Cecropis daurica"
"Little Cormorant",3,"Microcarbo niger"
"Malabar Starling",3,"Sturnia blythii"
"Black Baza",2,"Aviceda leuphotes"
"Brown Fish-Owl",2,"Ketupa zeylonensis"
"Red-wattled Lapwing",2,"Vanellus indicus"
"River Tern",2,"Sterna aurantia"
"Shikra",2,"Accipiter badius"
"Verditer Flycatcher",2,"Eumyias thalassinus"
"Alpine Swift",1,"Tachymarptis melba"
"Ashy Prinia",1,"Prinia socialis"
"Black-hooded Oriole",1,"Oriolus xanthornus"
"Blue-capped Rock-Thrush",1,"Monticola cinclorhyncha"
"Brown Hawk-Owl",1,"Ninox scutulata"
"Common Kingfisher",1,"Alcedo atthis"
"Common Sandpiper",1,"Actitis hypoleucos"
"Crested Goshawk",1,"Accipiter trivirgatus"
"Great Egret",1,"Ardea alba"
"Indian Paradise-Flycatcher",1,"Terpsiphone paradisi"
"Indian Pitta",1,"Pitta brachyura"
"Indian Pond-Heron",1,"Ardeola grayii"
"Little Egret",1,"Egretta garzetta"
"Nilgiri Flycatcher",1,"Eumyias albicaudatus"
"Paddyfield Pipit",1,"Anthus rufulus"
"Rufous Babbler",1,"Argya subrufa"
"Streak-throated Woodpecker",1,"Picus xanthopygaeus"
"Sulphur-bellied Warbler",1,"Phylloscopus griseolus"
"White-bellied Woodpecker",1,"Dryocopus javensis"
